,input
1831,"As a user, I want to see the geographical context of a collection, object, or object component, where pertinent. 
"
1832,"As an NSF employee, I want to narrow down the universe of CMS options and identify/prioritize key considerations for getting to the next step.
"
1833,"As a CONNECT user I want to receive health information using Direct via email so that I could use my existing interfaces and workflow to accept Direct messages.	
"
1834,"As an archivist, I want to add detailed restrictions to groups of files, so that I know if and how they can be shared.
"
1835,"As the site editor, I want to add an article to the site, so that the site has plenty of content.
"
1836,"As a repository manager, I want to describe an object, including its title, date(s), language(s), and other aspects. 
"
1837,"As a researcher, I want to store agreements relating to third party data used in a project, so that the data can be cited, attributed and used correctly.
"
1838,"As a developer, I want to provide an easy way to manage the user Settings. 
"
1839,"As a trainer, I want to update one of my existing courses or events, so that it reflects accurate information."
1840,"As a user, I want to know about various facets of a collection, object, or object component, such as scope and content, various identifiers, conditions governing use/access, etc.  
"
1841,"As a CONNECT user receiving Direct messages, I want to unpack the XDM content as an XDR Submission set so that I can use SOAP adapters to handle the XDR Submission set	
"
1842,"As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.
"
1843,"As a CONNECT adopter, I want FIPS support all supported application servers
"
1844,"As an archivist, I want to access inventories for unprocessed collections, so that I can provide reference services to donors.
"
1845,"As a researcher, I want to have electronic support for keeping track of which data sets were used/output/modified as part of a particular experiment.
"
1846,"As a camp administrator, I want to be able to add parents, so that they can enroll their kids at camp.
"
1847,"As a administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.
"
1848,"As a hydrator user, I want to specify an explicit version of the dataset types of the dataset instances created by my pipeline and I expect pipeline creation to fail if that results in incompatible upgrade of an existing dataset instance that is shared with other apps or pipelines.
"
1849,"As a DB/IR administrator, I want to add future release dates of reports/datasets to calendar for patron FYI.
"
1850,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours.	
"
1851,"As a CONNECT user, I want Release 4.2 to be regression tested so that the functionality is validated in RC2	
"
1852,"As an archivist, I want to search images by photographer.
"
1853,"As a trainer, I want to update one of my existing courses or events, so that it reflects accurate information.	
"
1854,"As a donor representative, I want to see thumbnails of images, so that I can select which one I want.
"
1855,"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred.
"
1856,"As a hydrator user, I want to create a pipeline that reads or writes a new dataset instance and I want to create that dataset instance as part of pipeline creation.
"
1857,"As a Custodial Agent, I Need to Remove Legacy Code for Re-Identification So That I Can Better Maintain the Code Base	
"
